id,name,style_specific,style,abv,ibu,rating
1436,Pub Beer,American Pale Lager,lager,0.05,9,3.6276170062311692
2265,Devil's Cup,American Pale Ale (APA),other ale,0.066,26,3.41132258761971
2264,Rise of the Phoenix,American IPA,IPA,0.071,67,3.3601025435425864
2263,Sinister,American Double / Imperial IPA,IPA,0.09,53,2.0866513222925573
2262,Sex and Candy,American IPA,IPA,0.075,74,3.5484915101853844
2261,Black Exodus,Oatmeal Stout,dark ale,0.077,36,3.7867820212852785
2260,Lake Street Express,American Pale Ale (APA),other ale,0.045,24,3.127536544915213
2259,Foreman,American Porter,dark ale,0.065,29,3.9803485902284703
2258,Jade,American Pale Ale (APA),other ale,0.055,17,3.7202174707892297
2131,Cone Crusher,American Double / Imperial IPA,IPA,0.086,50,2.7717949478073964
2099,Sophomoric Saison,Saison / Farmhouse Ale,other ale,0.072,33,3.286558748334999
2098,Regional Ring Of Fire,Saison / Farmhouse Ale,other ale,0.073,18,4.222980072831989
2097,Garce Selé,Saison / Farmhouse Ale,other ale,0.069,19,3.569039969694826
1980,Troll Destroyer,Belgian IPA,IPA,0.085,75,3.9164416284065124
1979,Bitter Bitch,American Pale Ale (APA),other ale,0.061,60,2.752489702372175
2318,Ginja Ninja,Cider,other ale,0.06,26,2.9450364771528488
2170,Cherried Away,Cider,other ale,0.06,17,3.83430398404552
2169,Rhubarbarian,Cider,other ale,0.06,29,3.4221578987850574
1502,BrightCider,Cider,other ale,0.06,20,2.679759711763914
1593,He Said Baltic-Style Porter,Baltic Porter,dark ale,0.0819999999999999,30,2.851733483751085
1592,He Said Belgian-Style Tripel,Tripel,other ale,0.0819999999999999,15,2.9105879798655203
1036,Lower De Boom,American Barleywine,other ale,0.099,92,2.5374004546794984
1024,Fireside Chat,Winter Warmer,other ale,0.079,45,3.452812930842028
976,Marooned On Hog Island,American Stout,dark ale,0.079,35,2.9781574118814476
876,Bitter American,American Pale Ale (APA),other ale,0.044,42,3.743313510366248
802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,other ale,0.049,17,2.7784892502104226
801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,other ale,0.049,17,4.003204655358703
800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,other ale,0.049,17,4.399590603554133
799,21st Amendment IPA (2006),American IPA,IPA,0.07,70,3.5354758240867215
797,Brew Free! or Die IPA (2008),American IPA,IPA,0.07,70,3.8002707400993887
796,Brew Free! or Die IPA (2009),American IPA,IPA,0.07,70,3.50373531762922
531,Special Edition: Allies Win The War!,English Strong Ale,other ale,0.085,52,4.029112936680975
432,Hop Crisis,American Double / Imperial IPA,IPA,0.0969999999999999,94,4.61831892985016
353,Bitter American (2011),American Pale Ale (APA),other ale,0.044,42,3.176941888636598
321,Fireside Chat (2010),Winter Warmer,other ale,0.079,45,3.2536711737790665
173,Back in Black,American Black Ale,other ale,0.068,65,3.4081937055806106
